cecl_tag,period,risk_bucket,historical_cecl_ratio
CI_Sector_Asset_Based_Lending,2026Q1,Pass,0.015545454545454545
CI_Sector_Asset_Based_Lending,2026Q1,Special Mention,0.015545454545454545
CI_Sector_Asset_Based_Lending,2026Q1,Substandard,0.015545454545454545
CI_Sector_Asset_Based_Lending,2025Q4,Pass,0.019
CI_Sector_Asset_Based_Lending,2025Q4,Special Mention,0.019
CI_Sector_Asset_Based_Lending,2025Q4,Substandard,0.019
Business_Credit_Center_Overlay,2026Q1,Pass,0.0135
Business_Credit_Center_Overlay,2026Q1,Special Mention,0.0135
Business_Credit_Center_Overlay,2026Q1,Substandard,0.0135
Business_Credit_Center_Overlay,2025Q4,Pass,0.0165
Business_Credit_Center_Overlay,2025Q4,Special Mention,0.0165
Business_Credit_Center_Overlay,2025Q4,Substandard,0.0165
CRE_Model,2026Q1,Pass,0.008746478873239437
CRE_Model,2026Q1,Special Mention,0.008746478873239437
CRE_Model,2026Q1,Substandard,0.008746478873239437
CRE_Model,2025Q4,Pass,0.010690140845070423
CRE_Model,2025Q4,Special Mention,0.010690140845070423
CRE_Model,2025Q4,Substandard,0.010690140845070423
Equipment_Finance_Overlay,2026Q1,Pass,0.009
Equipment_Finance_Overlay,2026Q1,Special Mention,0.009
Equipment_Finance_Overlay,2026Q1,Substandard,0.009
Equipment_Finance_Overlay,2025Q4,Pass,0.011
Equipment_Finance_Overlay,2025Q4,Special Mention,0.011
Equipment_Finance_Overlay,2025Q4,Substandard,0.011
CI_Sector_Middle_Market,2026Q1,Pass,0.0095625
CI_Sector_Middle_Market,2026Q1,Special Mention,0.0095625
CI_Sector_Middle_Market,2026Q1,Substandard,0.0095625
CI_Sector_Middle_Market,2025Q4,Pass,0.0116875
CI_Sector_Middle_Market,2025Q4,Special Mention,0.0116875
CI_Sector_Middle_Market,2025Q4,Substandard,0.0116875
CI_Sector_Sponsor_and_Specialty,2026Q1,Pass,0.01875
CI_Sector_Sponsor_and_Specialty,2026Q1,Special Mention,0.01875
CI_Sector_Sponsor_and_Specialty,2026Q1,Substandard,0.01875
CI_Sector_Sponsor_and_Specialty,2025Q4,Pass,0.022916666666666667
CI_Sector_Sponsor_and_Specialty,2025Q4,Special Mention,0.022916666666666667
CI_Sector_Sponsor_and_Specialty,2025Q4,Substandard,0.022916666666666667
